id,MAC,SSID,timestamp,hash,rssi,sn,htci
2,42-88-DA-C2-A6-9F,belener0,465683,15c3525f484c1ae1d0db2f4ac539767f83eab31d,-84,1172,USD
1,42-3C-71-EA-10-AE,ddoone1,459424,231e5146ab1bddcd3c8c1e814617ffccec6993fc,-68,522,MAD
3,B6-7B-AF-86-5C-2C,trawsen2,594602,553b6df6ccd4cf4c7426f507fe7a0c6f4fe81daf,-66,699,MYR
1,90-FC-2A-4E-D9-CF,ggelsthorpe3,16228,ff5ded57bbcf8b332068f1b04bb3086fa5eca3c7,-42,874,RUB
1,83-E0-15-6C-1A-7F,bsoall4,522946,6dd72fed5cadcef3de476243c4c9512ba1155c3e,-79,1085,KPW
3,F2-8C-04-5A-D4-0F,sedleston5,592050,fc6cad3cbd6a8cfaa244ad126b9bf57d6d2d7d7d,-47,608,CNY
1,2D-B0-57-79-FF-7D,wnurny6,169690,6713751bee5483e8c4caf1c9d2de3cc0fb4c8402,-87,739,AMD
1,35-4E-69-32-E5-CE,shardcastle7,184185,afd7f11a1dff51b7d6c96a665e4df2d2b4dc6f34,-62,1023,PEN
2,A4-D3-E7-E6-88-3F,fcarvil8,268283,3fbcfeec2990044892c02bbd105e966d71168d8b,-43,489,THB
3,5A-DE-03-56-D7-FC,fweatherburn9,289811,7bb03748565525030d5fb6c59c17c880cf830e34,-74,815,IDR
2,15-98-B6-72-CB-48,dfosserda,398949,f24b2af23bb337a2f5bb6610e4d493b9a3d0dcd7,-64,692,MKD
1,10-82-57-11-D5-8F,fbiestyb,449508,7c80acced8a44c590dfea85937c9ad85e2fb2b2e,-45,730,CNY
2,47-73-5C-54-CE-D7,kaslingc,63234,24a6064c63bdc43028eecfb0e8963b3f7ad661ad,-40,1077,RUB
3,0F-17-0D-66-6B-9D,kbretherickd,68543,c7576a2796c5151829dd5013d244d63f4a5fa081,-48,801,EUR
1,3F-ED-3E-AF-B0-31,sdominye,186570,388fe87faa188db42e63bca5a93b8e475fae7e54,-76,266,PEN
2,69-79-B9-38-56-93,crosif,101066,76915bc693200b0e16f9942dad82124de3c763ec,-61,301,RSD
3,53-44-D1-F8-2B-89,sledgewayg,224071,2a712cd233040f0a8679d74037ad950f2495860d,-69,1021,RUB
2,F4-25-54-7A-36-D7,sadelmanh,28744,14050d45471854ea1fd000eb6b85f6890e14469e,-61,103,PEN
3,6D-55-64-FA-6D-03,aprandini,39130,4b9cad7922a76b1951a38c410e47cffc9702b1db,-43,839,MXN
3,51-79-1F-7E-AD-2A,cshimminj,289806,3a2274c2cbb7709b6c76851abe3253a6c3de6076,-67,961,XAF
2,42-FC-E2-F3-2F-C0,smattsonk,101406,66af2919823c2672068013c54e4147a5c7058368,-70,122,ETB
2,E5-DF-26-61-52-3D,kcastillonl,595824,e174dd10b4429c39a8a67cabfe6f91c0b600c208,-57,934,CNY
